feature,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,significant,sig_level,abs_coefficient
nat_united_states,0.31589168885040564,0.12781753551046318,2.4714268475669887,0.013675071762627833,0.06497537689615102,0.5668080008046603,True,*,0.31589168885040564
cluster_fullbacks,-0.24646030964359272,0.10193925612620502,-2.417717364333762,0.015851847326465492,-0.4465754353843302,-0.04634518390285522,True,*,0.24646030964359272
skill_moves,0.19889519565050623,0.048559647501414775,4.095894552049857,4.655484228243091e-05,0.10356862240534918,0.29422176889566326,True,***,0.19889519565050623
defending,0.1832484426348306,0.06353428151760135,2.8842451391232617,0.004034178980355265,0.05852543387555989,0.3079714513941013,True,**,0.1832484426348306
cluster_st,0.15584772284444467,0.09127752590258631,1.7074052052064745,0.08815411336879266,-0.023337551478975954,0.3350329971678653,False,ns,0.15584772284444467
dribbling,-0.14387632896708852,0.0744022209596771,-1.9337638999387328,0.05351218893794027,-0.289933994762714,0.002181336828536967,False,ns,0.14387632896708852
physical,0.10080221307987036,0.03815820845147639,2.6416914517371737,0.008418462072020691,0.025894518316483595,0.17570990784325713,True,**,0.10080221307987036
weak_foot,0.09376600894108714,0.031157440446782786,3.009425921915518,0.0027037190114052715,0.03260139631091259,0.1549306215712617,True,**,0.09376600894108714
cluster_cb,0.0851636889228325,0.12737979688316445,0.6685808189892666,0.5039653896877848,-0.1648933061816404,0.33522068402730537,False,ns,0.0851636889228325
cluster_mid,0.05831666257311077,0.09625437933185337,0.6058598370060041,0.5447882500078113,-0.13063858347305796,0.2472719086192795,False,ns,0.05831666257311077
passing,0.05017055789515458,0.056796490845933176,0.8833390434498466,0.37733171105174146,-0.06132561481769304,0.16166673060800218,False,ns,0.05017055789515458
num_playstyles,0.04178888436499865,0.03133329000106436,1.333689643302032,0.18270409495880696,-0.019720935371876212,0.1032987041018735,False,ns,0.04178888436499865
shooting,-0.035185826356253704,0.06218046811213849,-0.5658662185173376,0.5716513196165354,-0.15725118829565465,0.08687953558314726,False,ns,0.035185826356253704
cluster_att_mid,0.0193017150990632,0.09333944308684045,0.2067905534973614,0.8362286774981406,-0.16393127187475348,0.20253470207287988,False,ns,0.0193017150990632
num_positions,0.018671906179684835,0.04457270705457595,0.4189089560304803,0.6754007234249645,-0.06882797576754655,0.10617178812691623,False,ns,0.018671906179684835
club_encoded,1.2138418619196587e-06,4.994400676038238e-07,2.430405449333167,0.015311763658993607,2.334000210966792e-07,2.194283702742638e-06,True,*,1.2138418619196587e-06
