url,price
https://www.futbin.com/26/player/18770/schweinsteiger,149000
https://www.futbin.com/26/player/18771/nedved,140000
https://www.futbin.com/26/player/18772/ferdinand,1202000
https://www.futbin.com/26/player/18773/ribery,811000
https://www.futbin.com/26/player/18774/pichon,179000
https://www.futbin.com/26/player/18775/scholes,109000
https://www.futbin.com/26/player/18776/klose,95000
https://www.futbin.com/26/player/18777/hagi,147000
https://www.futbin.com/26/player/18778/thuram,1415000
https://www.futbin.com/26/player/18779/vieira,1450000
https://www.futbin.com/26/player/18781/blanc,483000
https://www.futbin.com/26/player/18782/desailly,590000
https://www.futbin.com/26/player/18783/hierro-ruiz,129000
https://www.futbin.com/26/player/18784/laudrup,94500
https://www.futbin.com/26/player/18785/riquelme,88000
https://www.futbin.com/26/player/18786/van-persie,257000
https://www.futbin.com/26/player/18787/bale,1793000
https://www.futbin.com/26/player/18823/tevez,279000
https://www.futbin.com/26/player/18824/mascherano,73500
https://www.futbin.com/26/player/18825/okocha,290000
https://www.futbin.com/26/player/18826/marquez,71000
https://www.futbin.com/26/player/18827/litmanen,24000
https://www.futbin.com/26/player/18828/dos-santos-futre,250000
https://www.futbin.com/26/player/18829/lizarazu,123000
https://www.futbin.com/26/player/18830/forlan,110000
https://www.futbin.com/26/player/18831/silveira-carvalho,119000
https://www.futbin.com/26/player/18832/milito,39000
https://www.futbin.com/26/player/18833/gomez,32000
https://www.futbin.com/26/player/18834/kompany,368000
https://www.futbin.com/26/player/18835/enzo-francescoli,153000
https://www.futbin.com/26/player/18836/sneijder,275000
https://www.futbin.com/26/player/18837/douglas-sisenando,295000
https://www.futbin.com/26/player/18838/keler,37500
https://www.futbin.com/26/player/18839/di-natale,845000
https://www.futbin.com/26/player/18840/hazard,1005000
https://www.futbin.com/26/player/18942/alexander-isak,15500
https://www.futbin.com/26/player/19919/cole-palmer,514000
https://www.futbin.com/26/player/19922/bruno-miguel-borges-fernandes,479000
https://www.futbin.com/26/player/19949/rose-lavelle,33000
https://www.futbin.com/26/player/19976/millie-bright,54000
https://www.futbin.com/26/player/19978/cristiano-ronaldo-dos-santos-aveiro,795000
https://www.futbin.com/26/player/20005/moises-caicedo,110000
https://www.futbin.com/26/player/20030/julian-alvarez,550000
https://www.futbin.com/26/player/20031/heung-min-son,330000
https://www.futbin.com/26/player/20034/lucy-bronze,70000
https://www.futbin.com/26/player/20087/kevin-de-bruyne,219000
https://www.futbin.com/26/player/20090/lionel-messi,720000
https://www.futbin.com/26/player/20207/campos,15750
https://www.futbin.com/26/player/20212/hamsik,711000
https://www.futbin.com/26/player/20223/sakina-karchaoui,318000
https://www.futbin.com/26/player/20290/katie-mccabe,23000
https://www.futbin.com/26/player/20339/paulo-dybala,202000
https://www.futbin.com/26/player/20356/marchisio,389000
https://www.futbin.com/26/player/20357/toure,1569000
https://www.futbin.com/26/player/20373/declan-rice,31500
https://www.futbin.com/26/player/20407/daniele-de-rossi,790000
https://www.futbin.com/26/player/20408/georges,317000
https://www.futbin.com/26/player/20409/michel-salgado,280000
https://www.futbin.com/26/player/20414/maya-le-tissier,73000
https://www.futbin.com/26/player/20415/william-saliba,1100000
https://www.futbin.com/26/player/20492/klara-buhl,21000
https://www.futbin.com/26/player/20529/irene-paredes-hernandez,80000
https://www.futbin.com/26/player/20530/lindsey-heaps,81000
https://www.futbin.com/26/player/20531/robert-lewandowski,320000
https://www.futbin.com/26/player/20532/leah-williamson,104000
https://www.futbin.com/26/player/20566/simone-laudehr,73000
https://www.futbin.com/26/player/78/lauren-hemp,10750
https://www.futbin.com/26/player/84/ada-hegerberg,12250
https://www.futbin.com/26/player/92/mallory-swanson,10750
https://www.futbin.com/26/player/93/beth-mead,11000
https://www.futbin.com/26/player/98/leah-williamson,11750
https://www.futbin.com/26/player/104/sakina-karchaoui,10750
https://www.futbin.com/26/player/115/chloe-kelly,10750
https://www.futbin.com/26/player/121/lindsey-heaps,11250
https://www.futbin.com/26/player/126/lucy-bronze,11000
https://www.futbin.com/26/player/127/rose-lavelle,10500
https://www.futbin.com/26/player/193/kevin-de-bruyne,10500
https://www.futbin.com/26/player/214/cole-palmer,11000
https://www.futbin.com/26/player/215/khvicha-kvaratskhelia,11000
https://www.futbin.com/26/player/216/alessandro-bastoni,10750
https://www.futbin.com/26/player/217/serhou-guirassy,11000
https://www.futbin.com/26/player/218/frenkie-de-jong,60000
https://www.futbin.com/26/player/219/moises-caicedo,11000
https://www.futbin.com/26/player/220/declan-rice,11000
https://www.futbin.com/26/player/221/marcos-aoas-correa,11000
https://www.futbin.com/26/player/223/jules-kounde,49250
https://www.futbin.com/26/player/224/bruno-miguel-borges-fernandes,10750
https://www.futbin.com/26/player/225/william-saliba,27250
https://www.futbin.com/26/player/226/julian-alvarez,10750
https://www.futbin.com/26/player/227/jonathan-tah,10500
https://www.futbin.com/26/player/228/alexis-mac-allister,11000
https://www.futbin.com/26/player/230/millie-bright,10750
https://www.futbin.com/26/player/231/martin-odegaard,12750
https://www.futbin.com/26/player/232/katie-mccabe,10750
https://www.futbin.com/26/player/234/viktor-gyokeres,14000
https://www.futbin.com/26/player/235/sam-kerr,11000
https://www.futbin.com/26/player/236/nicolo-barella,11250
https://www.futbin.com/26/player/237/victor-osimhen,10500
https://www.futbin.com/26/player/18788/torres-sanz,555000
https://www.futbin.com/26/player/18789/pires,95000
https://www.futbin.com/26/player/18790/kluivert,70500
https://www.futbin.com/26/player/18791/wright,90000
https://www.futbin.com/26/player/18792/alonso-olano,94000
https://www.futbin.com/26/player/18793/petit,240000
https://www.futbin.com/26/player/18794/lampard,144000
https://www.futbin.com/26/player/18795/rush,74000
https://www.futbin.com/26/player/18796/vidic,336000
